2	2.055	1	1.1101	2
20	2.0546	1	1.1101	1.9997
200	2.0502	1	1.1101	1.9973
2000	2.01	1	1.1101	1.9735
20000	1.7605	1	1.1101	1.7605
200000	1.2453	1	1.1101	0.9465
2000000	1.245	1.0002	1.1104	0.827
20000000	1.2467	1.0023	1.1128	0.8273
200000000	1.2639	1.0232	1.1379	0.831

