2	0.8333	0	0.4641
20	0.8333	0	0.4857
200	0.833	0	0.5073
2000	0.8471	0	1
20000	1	0	1
200000	0.8928	0.7925	1
2000000	0.8938	0.7947	1
20000000	0.8938	0.7948	1
200000000	0.8937	0.795	1

