1   2.05    2.50    2.76
2   2.03    2.23    2.22
3   2.01    2.17    2.13
4   2.00    2.15    2.09
5   2.00    2.14    2.07
6   2.00    2.13    2.06
7   2.00    2.12    2.05
8   2.00    2.11    2.04
9   2.00    2.10    2.03
10  2.00    2.09    2.02
11  2.00    2.09    2.01
12  2.00    2.08    2.00
13  2.00    2.07    1.99
14  2.00    2.06    1.98
15  2.00    2.06    1.97
16  2.00    2.05    1.97
17  2.00    2.04    1.96
18  2.00    2.03    1.95
19  2.00    2.03    1.94
20  2.00    2.02    1.93
21  2.00    2.01    1.93
22  2.00    2.01    1.92
23  2.00    2.00    1.91
24  2.00    1.99    1.90
25  2.00    1.99    1.89
