1	1.146497671	1.080342301	1.043450182	1.020759832
2	1.16465988	1.100811334	1.064707887	1.04239236
3	1.172330775	1.1094605	1.073693554	1.051538922
4	1.176771853	1.114468052	1.078896036	1.05683465
5	1.179597995	1.117654683	1.082206721	1.06020468
6	1.182020403	1.120386081	1.085044452	1.063093279
7	1.183837208	1.12243463	1.08717275	1.065259729
8	1.185250279	1.124027946	1.088828094	1.066944746
9	1.186461483	1.125393645	1.090246959	1.068389046
10	1.187470819	1.126531728	1.091429347	1.069592629
