1	0.966561045	0.880199675	0.836940728	0.811417908
2	0.977912425	0.892139945	0.848898186	0.823315798
3	0.982706734	0.897185292	0.853952624	0.828346407
4	0.985482408	0.900106364	0.85687902	0.831259058
5	0.987248747	0.901965232	0.85874128	0.833112574
6	0.988762752	0.903558547	0.860337504	0.834701304
7	0.989898255	0.904753534	0.861534672	0.835892851
8	0.990781425	0.905682969	0.862465803	0.83681961
9	0.991538427	0.906479627	0.863263915	0.837613975
10	0.992169262	0.907143508	0.863929008	0.838275946
