workload	single_tWR-0_16	single_tWR-0_41	single_tWR-0_40	spare_8_8-spare_8_8	ECC-ECC	base0-4096_chunks	matchb_chip-4096_chunks	sort0-4096_chunks	matchs_chip-4096_chunks
20nm_RAND	312.146	460.843	441.107	432.483	427.257	421.221	409.098	404.636	380.630
20nm_PROF	313.335	457.628	440.368	431.918	427.848	382.514	379.685	321.245	318.434
14nm_RAND	312.146	533.390	521.009	501.862	487.502	482.726	466.348	462.540	434.158
14nm_PROF	313.335	528.761	516.837	495.116	490.210	429.144	424.483	341.892	338.535
