workload	spare_8_0-spare_8_0	spare_8_2-spare_8_2	spare_8_8-spare_8_8	spare_8_16-spare_8_16
20nm_Spec-High	1.378	1.324	1.285	1.257
20nm_Spec-All	1.242	1.208	1.185	1.165
14nm_Spec-High	1.570	1.482	1.450	1.404
14nm_Spec-All	1.359	1.306	1.263	1.259
