workload	20nm_base	20nm_spec	20nm_norefresh	20nm_ref_pr_pv_64	20nm_ref_pr_pv_default	20nm_ref_pr_pv_multi_dimm	20nm_ref_pr_pv_multi_bin	20nm_ref_pr_pv_fixed_dimm	20nm_ref_pr_pv_fixed_bin
com1	1.000	1.160	1.097	1.106	1.164	1.165	1.177	1.139	1.212
com2	1.000	1.182	1.108	1.121	1.193	1.181	1.202	1.156	1.231
com3	1.000	1.106	1.075	1.063	1.101	1.095	1.100	1.067	1.123
com4	1.000	1.066	1.059	1.034	1.058	1.052	1.061	1.031	1.077
com5	1.000	1.049	1.057	1.020	1.057	1.059	1.061	1.025	1.067
lesl	1.000	1.218	1.139	1.172	1.252	1.253	1.266	1.237	1.300
libq	1.000	1.157	1.130	1.071	1.160	1.169	1.174	1.148	1.188
blac	1.000	1.098	1.077	1.072	1.118	1.116	1.122	1.078	1.148
face	1.000	1.064	1.092	1.034	1.086	1.081	1.088	1.049	1.096
ferr	1.000	1.115	1.098	1.071	1.135	1.127	1.138	1.097	1.158
flui	1.000	1.088	1.074	1.046	1.095	1.097	1.095	1.072	1.109
freq	1.000	1.072	1.062	1.037	1.081	1.078	1.084	1.046	1.096
stre	1.000	1.093	1.072	1.062	1.096	1.099	1.101	1.064	1.124
swap	1.000	1.102	1.071	1.064	1.102	1.090	1.103	1.079	1.124
MT-c	1.000	1.194	1.108	1.155	1.220	1.221	1.225	1.203	1.292
MT-f	1.000	1.335	1.108	1.374	1.435	1.461	1.464	1.430	1.585
mumm	1.000	1.213	1.108	1.186	1.254	1.258	1.269	1.241	1.325
tigr	1.000	1.203	1.108	1.184	1.238	1.236	1.253	1.219	1.321
Gmean	1.000	1.138	1.091	1.101	1.155	1.154	1.162	1.128	1.193
