workload	20nm_base	20nm_spec	20nm_norefresh	20nm_ref_pr_pv_64	20nm_ref_pr_pv_default	20nm_ref_pr_pv_multi_dimm	20nm_ref_pr_pv_multi_bin	20nm_ref_pr_pv_fixed_dimm	20nm_ref_pr_pv_fixed_bin
comm1	1.000	0.757	0.882	0.844	0.752	0.770	0.745	0.804	0.696
comm2	1.000	0.773	0.893	0.864	0.783	0.791	0.772	0.817	0.731
comm3	1.000	0.742	0.879	0.830	0.797	0.800	0.760	0.829	0.719
comm4	1.000	0.827	0.885	0.894	0.842	0.844	0.838	0.914	0.777
comm5	1.000	0.797	0.869	0.920	0.819	0.800	0.773	0.900	0.768
leslie	1.000	0.736	0.816	0.783	0.706	0.719	0.693	0.744	0.653
libq	1.000	0.890	0.848	0.911	0.873	0.846	0.861	0.875	0.855
black	1.000	0.808	0.876	0.890	0.785	0.797	0.784	0.863	0.744
face	1.000	0.959	0.893	0.991	0.907	0.922	0.903	0.977	0.900
ferret	1.000	0.844	0.883	0.901	0.814	0.825	0.811	0.860	0.783
fluid	1.000	0.814	0.891	0.905	0.798	0.831	0.791	0.836	0.766
freq	1.000	0.832	0.888	0.905	0.831	0.849	0.827	0.898	0.784
stream	1.000	0.823	0.889	0.900	0.852	0.847	0.824	0.885	0.776
swapt	1.000	0.799	0.882	0.908	0.812	0.816	0.805	0.871	0.766
MT-canneal	1.000	0.796	0.897	0.864	0.806	0.805	0.802	0.818	0.742
MT-fluid	1.000	0.777	0.891	0.804	0.734	0.725	0.722	0.773	0.670
mummer	1.000	0.799	0.900	0.856	0.792	0.789	0.779	0.801	0.736
tigr	1.000	0.827	0.900	0.888	0.807	0.816	0.803	0.837	0.767
Gmean	1.000	0.810	0.881	0.880	0.805	0.809	0.793	0.848	0.755
