workload	20nm_base	20nm_spec	20nm_norefresh	20nm_ref_pr_pv_64	20nm_ref_pr_pv_default	20nm_ref_pr_pv_multi_dimm	20nm_ref_pr_pv_multi_bin	20nm_ref_pr_pv_fixed_dimm	20nm_ref_pr_pv_fixed_bin
comm1	590448652	509045756	538295080	540137448	510576072	513618464	507980332	525935996	490915816
comm2	802167757	678394073	723664769	731411897	683816421	687360529	678952437	704252705	658559809
comm3	463175125	418710249	430798781	438112417	425260869	427096469	422120661	436547417	414300489
comm4	387619589	363777961	366021613	376267489	367650825	368295373	367401209	376783081	361086289
comm5	309142364	294728916	292389816	304263652	293741888	292724828	291815452	302877796	291309476
leslie	723094577	593871985	635025833	627441845	592412305	597306073	587344749	604905769	564152737
libq	1027363232	887741868	909261840	942038492	904100884	888488736	886533696	905193056	872716180
black	420412796	383043288	390235984	398393712	379843976	380409888	378704584	393526552	370163952
face	590616416	555199212	540818276	573993056	546775012	547875904	544763876	564841416	540238212
ferret	582805981	522634509	530881817	549425225	519129593	521890309	516820453	535740781	506485825
fluid	606647209	557758989	564821213	583456569	553206905	560089613	551426329	565289313	545769713
freq	383068777	357323001	360728001	369159581	357878665	359256813	356580745	367961733	350739249
stream	425258644	389012996	396678740	405831984	395057028	393152304	389458224	401671428	380580068
swapt	627099653	568961817	585769041	599199413	573670261	574106625	571555821	588824065	560212965
MT-canneal	1100970205	921784696	993769361	973576616	923213180	922114964	918196000	933279764	863095160
MT-fluid	1593603496	1193638852	1437747612	1221091640	1181685420	1165216464	1158954976	1184722848	1043481796
mummer	1284303417	1058444789	1159593361	1113035529	1051786769	1047390637	1037308029	1058358349	983446009
tigr	1464947204	1217267764	1322568652	1265580248	1216330104	1214861632	1198841836	1229270184	1125731404
Gmean	660865000.000	580943000.000	605736000.000	608044000.000	581606000.000	581762000.000	576962000.000	594153000.000	559201000.000
