workload	20nm_base	20nm_spec	20nm_norefresh	20nm_ref_pr_pv_64	20nm_ref_pr_pv_default	20nm_ref_pr_pv_multi_dimm	20nm_ref_pr_pv_multi_bin	20nm_ref_pr_pv_fixed_dimm	20nm_ref_pr_pv_fixed_bin
com1	608542780	525739656	539280056	549810860	525557932	526085364	526590340	537698128	516043172
com2	832196469	704516121	723543613	744811421	708676541	712452729	713634421	726176501	690291961
com3	478481217	431093689	430710941	447759729	436198681	436963881	436240525	446059293	428760809
com4	398408365	372481753	366837289	384299505	377260885	377698377	377474865	384424405	372772305
com5	318395324	302496340	292707576	311514228	301929760	301942788	302012160	310829808	300308372
lesl	726373113	608033309	646194649	641800273	612155233	612209141	612155233	625353221	588539729
libq	1050244772	909862108	909262272	975085052	942319644	942369440	942319644	960878500	921121180
blac	430890496	392651712	390235984	408838932	393550336	393480176	393550336	402624624	384195564
face	613648756	574302480	540818672	591649988	568670512	568881828	568670512	582256460	564807148
ferr	603678301	541180597	531037193	562914145	538133329	537868577	538133329	549298405	528687073
flui	625764269	573859145	565597685	598020573	573411433	574217341	573411433	580557181	570922653
freq	393222513	363153629	359965317	379203741	366632025	366773713	366632025	376532321	362355741
stre	438224388	399999312	396678740	411281284	401272348	401222428	401272348	410752812	394045188
swap	641611561	586952477	585769505	601723549	583772329	584957437	583772329	595254305	578042553
MT-c	1143198173	957081820	993881441	987382824	945486481	945750840	945731688	958245556	913256096
MT-f	1647674460	1239632120	1437775180	1193380320	1170066268	1170835452	1170066268	1184645212	1050244044
mumm	1333394365	1098854241	1159445609	1131709425	1078350965	1078213009	1078350965	1094660769	1032609933
tigr	1519174808	1264012736	1320860648	1292473148	1243021644	1242165468	1243021644	1255406027	1182870192
Gmean	680839000.000	598790000.000	606426000.000	619560000.000	597386000.000	597816000.000	597723000.000	609380000.000	582004000.000
