workload	20nm_base	20nm_spec	20nm_norefresh	20nm_ref_pr_pv_64	20nm_ref_pr_pv_default	20nm_ref_pr_pv_multi_dimm	20nm_ref_pr_pv_multi_bin	20nm_ref_pr_pv_fixed_dimm	20nm_ref_pr_pv_fixed_bin
com1	1.000	1.157	1.128	1.107	1.158	1.157	1.156	1.132	1.179
com2	1.000	1.181	1.150	1.117	1.174	1.168	1.166	1.146	1.206
com3	1.000	1.110	1.111	1.069	1.097	1.095	1.097	1.073	1.116
com4	1.000	1.070	1.086	1.037	1.056	1.055	1.055	1.036	1.069
com5	1.000	1.053	1.088	1.022	1.055	1.054	1.054	1.024	1.060
lesl	1.000	1.195	1.124	1.132	1.187	1.186	1.187	1.162	1.234
libq	1.000	1.154	1.155	1.077	1.115	1.114	1.115	1.093	1.140
blac	1.000	1.097	1.104	1.054	1.095	1.095	1.095	1.070	1.122
face	1.000	1.069	1.135	1.037	1.079	1.079	1.079	1.054	1.086
ferr	1.000	1.115	1.137	1.072	1.122	1.122	1.122	1.099	1.142
flui	1.000	1.090	1.106	1.046	1.091	1.090	1.091	1.078	1.096
freq	1.000	1.083	1.092	1.037	1.073	1.072	1.073	1.044	1.085
stre	1.000	1.096	1.105	1.066	1.092	1.092	1.092	1.067	1.112
swap	1.000	1.093	1.095	1.066	1.099	1.097	1.099	1.078	1.110
MT-c	1.000	1.194	1.150	1.158	1.209	1.209	1.209	1.193	1.252
MT-f	1.000	1.329	1.146	1.381	1.408	1.407	1.408	1.391	1.569
mumm	1.000	1.213	1.150	1.178	1.237	1.237	1.237	1.218	1.291
tigr	1.000	1.202	1.150	1.175	1.222	1.223	1.222	1.210	1.284
Gmean	1.000	1.137	1.123	1.099	1.140	1.139	1.139	1.117	1.170
