workload	20nm_base	20nm_spec	20nm_norefresh	20nm_ref_pr_pv_64	20nm_ref_pr_pv_default	20nm_ref_pr_pv_multi_dimm	20nm_ref_pr_pv_multi_bin	20nm_ref_pr_pv_fixed_dimm	20nm_ref_pr_pv_fixed_bin
comm1	608542780	525739656	539280056	557802244	534339816	533953352	534014136	548462404	520020276
comm2	832196469	704516121	723543613	753450237	723418749	724137189	725695149	736467733	700268405
comm3	478481217	431093689	430710941	449432049	440866245	441148253	439814329	450124689	431577893
comm4	398408365	372481753	366837289	385272945	379108429	378734029	379563381	387383113	373573917
comm5	318395324	302496340	292707576	312013788	302235364	301603924	301904696	310274952	300596348
leslie	726373113	608033309	646194649	658900381	625306645	625575041	625306645	623082697	601050997
libq	1050244772	909862108	909262272	992475092	954273572	954081728	954273572	975946008	932942132
black	430890496	392651712	390235984	409030764	397319296	397369216	397319296	409500480	389782120
face	613648756	574302480	540818672	594585472	571274060	570886788	571274060	584752612	566778244
ferret	603678301	541180597	531037193	568747849	542463533	542391849	542463533	554664965	532681717
fluid	625764269	573859145	565597685	603536733	577086213	575632873	577086213	586454921	573457725
freq	393222513	363153629	359965317	381999261	367830001	367796357	367830001	376856837	363312265
stream	438224388	399999312	396678740	416300732	404810260	405077508	404810260	418040852	397414788
swapt	641611561	586952477	585769505	605617181	591260329	592103821	591260329	599626909	583175245
MT-canneal	1143198173	957081820	993881441	1008675028	965740420	965787956	965683268	977246312	928516552
MT-fluid	1647674460	1239632120	1437775180	1252083420	1232926556	1233305140	1232926556	1249112200	1090405152
mummer	1333394365	1098854241	1159445609	1160778889	1110032145	1110131365	1110032145	1124013833	1053152169
tigr	1519174808	1264012736	1320860648	1323831612	1273919707	1273619535	1273919707	1288302995	1204098364
Gmean	680839000.000	598790000.000	606426000.000	628131000.000	606343000.000	606244000.000	606350000.000	617989000.000	588733000.000
