workload	20nm_base	20nm_spec	20nm_norefresh	20nm_ref_pr_pv_64	20nm_ref_pr_pv_default	20nm_ref_pr_pv_multi_dimm	20nm_ref_pr_pv_multi_bin	20nm_ref_pr_pv_fixed_dimm	20nm_ref_pr_pv_fixed_bin
comm1	1.000	0.864	0.886	0.917	0.878	0.877	0.878	0.901	0.855
comm2	1.000	0.847	0.869	0.905	0.869	0.870	0.872	0.885	0.841
comm3	1.000	0.901	0.900	0.939	0.921	0.922	0.919	0.941	0.902
comm4	1.000	0.935	0.921	0.967	0.952	0.951	0.953	0.972	0.938
comm5	1.000	0.950	0.919	0.980	0.949	0.947	0.948	0.974	0.944
leslie	1.000	0.837	0.890	0.907	0.861	0.861	0.861	0.858	0.827
libq	1.000	0.866	0.866	0.945	0.909	0.908	0.909	0.929	0.888
black	1.000	0.911	0.906	0.949	0.922	0.922	0.922	0.950	0.905
face	1.000	0.936	0.881	0.969	0.931	0.930	0.931	0.953	0.924
ferret	1.000	0.896	0.880	0.942	0.899	0.898	0.899	0.919	0.882
fluid	1.000	0.917	0.904	0.964	0.922	0.920	0.922	0.937	0.916
freq	1.000	0.924	0.915	0.971	0.935	0.935	0.935	0.958	0.924
stream	1.000	0.913	0.905	0.950	0.924	0.924	0.924	0.954	0.907
swapt	1.000	0.915	0.913	0.944	0.922	0.923	0.922	0.935	0.909
MT-canneal	1.000	0.837	0.869	0.882	0.845	0.845	0.845	0.855	0.812
MT-fluid	1.000	0.752	0.873	0.760	0.748	0.749	0.748	0.758	0.662
mummer	1.000	0.824	0.870	0.871	0.832	0.833	0.832	0.843	0.790
tigr	1.000	0.832	0.869	0.871	0.839	0.838	0.839	0.848	0.793
Gmean	1.000	0.879	0.891	0.923	0.891	0.890	0.891	0.908	0.865
