workload	20nm_base	20nm_spec	20nm_norefresh	20nm_ref_pr_pv_64	20nm_ref_pr_pv_default	20nm_ref_pr_pv_multi_dimm	20nm_ref_pr_pv_multi_bin	20nm_ref_pr_pv_fixed_dimm	20nm_ref_pr_pv_fixed_bin
comm1	286.740	217.720	242.390	242.550	221.840	219.950	220.260	232.270	207.120
comm2	357.830	276.660	306.730	307.340	284.840	284.780	286.150	294.200	270.050
comm3	242.920	179.450	202.910	199.450	191.940	192.320	194.280	199.710	176.560
comm4	210.830	173.120	177.960	185.620	177.010	175.190	178.330	191.200	167.660
comm5	209.340	164.120	170.280	188.130	168.930	167.510	168.290	182.450	161.140
leslie	279.380	217.400	244.550	245.190	214.630	214.640	214.630	216.500	201.100
libq	307.440	256.380	253.150	285.870	271.050	271.150	271.050	278.480	264.990
black	300.050	240.860	252.320	268.090	243.190	242.800	243.190	267.920	233.140
face	401.960	385.530	344.720	397.730	368.430	368.460	368.430	393.960	368.610
ferret	356.830	305.480	307.760	327.740	294.310	293.580	294.310	305.260	284.660
fluid	309.550	250.870	265.380	282.380	253.340	251.260	253.340	261.010	248.760
freq	291.790	237.130	245.460	269.490	242.410	242.390	242.410	261.160	232.400
stream	303.220	248.170	256.630	270.000	251.660	252.010	251.660	274.010	240.020
swapt	298.630	245.860	253.850	262.360	245.890	246.620	245.890	256.780	237.620
MT-canneal	400.880	319.490	345.630	345.860	321.890	321.870	321.860	328.340	306.430
MT-fluid	333.610	262.170	288.170	265.800	242.970	242.680	242.970	259.420	223.730
mummer	372.190	297.710	322.140	320.580	296.380	296.340	296.380	302.820	279.360
tigr	304.180	251.900	263.910	271.930	246.130	246.450	246.130	252.430	235.380
Gmean	304.402	246.231	258.852	269.150	247.408	246.952	247.588	259.703	236.032
