workload	single_tWR-0_16	single_tWR-0_41	single_tWR-0_40	spare_8_8-spare_8_8	ECC-ECC	base0-4096_chunks	matchb_chip-4096_chunks	sort0-4096_chunks	matchs_chip-4096_chunks
429.mcf	1.000	1.513	1.478	1.456	1.389	1.391	1.348	1.370	1.294
470.lbm	1.000	1.700	1.665	1.585	1.566	1.553	1.503	1.488	1.401
403.gcc	1.000	1.682	1.642	1.616	1.547	1.540	1.487	1.492	1.400
401.bzi	1.000	1.736	1.699	1.669	1.594	1.580	1.527	1.512	1.419
447.dea	1.000	1.714	1.691	1.645	1.567	1.564	1.520	1.502	1.417
400.per	1.000	1.788	1.741	1.712	1.628	1.606	1.555	1.536	1.441
spec_high	1.000	1.666	1.626	1.560	1.524	1.524	1.470	1.479	1.388
spec_all	1.000	1.709	1.669	1.608	1.562	1.546	1.494	1.482	1.391
