workload	spare_8_0-spare_8_0	spare_8_2-spare_8_2	spare_8_8-spare_8_8	spare_8_16-spare_8_16
429.mcf	4825730498.500	4556720386.800	4346540113.550	4315787632.300
470.lbm	6661066094.550	6301752685.300	6015035405.750	5967434850.350
403.gcc	2440050220.200	2309551363.150	2222971002.950	2189047549.200
401.bzi	1081340122.000	1029293458.150	1017699018.583	981648696.500
447.dea	682382969.250	665478518.350	638512364.850	639770028.500
400.per	694664441.900	682613675.050	641401465.000	670338972.850
spec_high	2957230000.000	2791290000.000	2730860000.000	2645370000.000
spec_all	1176570000.000	1131820000.000	1094700000.000	1090710000.000
