workload	single_tWR-0_16	single_tWR-0_41	single_tWR-0_40	spare_8_8-spare_8_8	ECC-ECC	base0-4096_chunks	matchb_chip-4096_chunks	sort0-4096_chunks	matchs_chip-4096_chunks
429.mcf	1.000	1.430	1.400	1.381	1.325	1.328	1.292	1.312	1.249
470.lbm	1.000	1.598	1.567	1.500	1.484	1.474	1.431	1.420	1.346
403.gcc	1.000	1.551	1.520	1.498	1.439	1.436	1.394	1.398	1.326
401.bzi	1.000	1.486	1.459	1.441	1.392	1.382	1.347	1.337	1.275
447.dea	1.000	1.349	1.329	1.315	1.279	1.280	1.253	1.256	1.210
400.per	1.000	1.249	1.233	1.224	1.197	1.189	1.174	1.168	1.139
Spec-High	1.000	1.544	1.512	1.459	1.429	1.429	1.385	1.393	1.319
Spec-All	1.000	1.370	1.349	1.319	1.295	1.293	1.265	1.265	1.217
