workload	single_tWR-0_16	single_tWR-0_41	single_tWR-0_40	spare_8_8-spare_8_8	ECC-ECC	base0-4096_chunks	matchb_chip-4096_chunks	sort0-4096_chunks	matchs_chip-4096_chunks
429.mcf	1.000	1.458	1.428	1.357	1.341	1.239	1.231	1.106	1.084
470.lbm	1.000	1.596	1.566	1.488	1.437	1.432	1.398	1.340	1.270
403.gcc	1.000	1.544	1.512	1.450	1.434	1.291	1.280	1.048	1.048
401.bzi	1.000	1.469	1.444	1.421	1.373	1.228	1.222	1.015	1.017
447.dea	1.000	1.276	1.303	1.246	1.255	1.149	1.134	0.988	0.998
400.per	1.000	1.126	1.118	1.050	1.047	1.065	1.063	1.010	1.010
Spec-High	1.000	1.521	1.489	1.450	1.447	1.305	1.287	1.129	1.108
Spec-All	1.000	1.327	1.310	1.263	1.247	1.188	1.178	1.061	1.052
