workload	single_tWR-0_16	single_tWR-0_41	single_tWR-0_40	spare_8_8-spare_8_8	ECC-ECC	base0-4096_chunks	matchb_chip-4096_chunks	sort0-4096_chunks	matchs_chip-4096_chunks
429.mcf	1.000	1.545	1.509	1.442	1.427	1.285	1.276	1.125	1.099
470.lbm	1.000	1.695	1.660	1.576	1.525	1.502	1.463	1.392	1.311
403.gcc	1.000	1.682	1.642	1.546	1.526	1.367	1.352	1.062	1.062
401.bzi	1.000	1.727	1.688	1.604	1.551	1.360	1.350	1.024	1.026
447.dea	1.000	1.760	1.762	1.641	1.639	1.391	1.387	1.022	1.028
400.per	1.000	1.783	1.736	1.655	1.634	1.409	1.396	1.056	1.058
spec_high	1.000	1.648	1.607	1.548	1.536	1.372	1.351	1.150	1.126
spec_all	1.000	1.688	1.649	1.580	1.564	1.370	1.355	1.091	1.080
