workload	spare_8_0-spare_8_0	spare_8_2-spare_8_2	spare_8_8-spare_8_8	spare_8_16-spare_8_16
429.mcf	404.349	379.189	363.773	356.658
470.lbm	992.494	933.888	891.311	879.150
403.gcc	468.815	439.605	415.943	412.705
401.bzi	804.990	755.501	721.486	708.780
447.dea	444.357	418.190	391.878	391.682
400.per	406.634	380.587	363.960	354.715
spec_high	441.296	412.750	399.867	387.419
spec_all	549.007	514.086	495.116	481.328
