workload	single_tWR-0_16	single_tWR-0_41	single_tWR-0_40	spare_8_8-spare_8_8	ECC-ECC	base0-4096_chunks	matchb_chip-4096_chunks	sort0-4096_chunks	matchs_chip-4096_chunks
429.mcf	3203550419.750	4671510183.250	4573255475.500	4346540113.550	4295722052.250	3970086099.000	3944620069.800	3541677731.050	3471616279.800
470.lbm	4043450076.250	6454733384.500	6331560617.000	6015035405.750	5811715661.375	5789854599.600	5652999795.600	5416778101.750	5133979575.400
403.gcc	1533459727.250	2367370393.750	2319255057.750	2222971002.950	2198769258.100	1979962796.900	1962599585.900	1607071345.050	1606601021.400
401.bzi	716324525.750	1051963559.500	1034064890.000	1017699018.583	983553926.950	879815277.300	875266719.800	727330118.650	728276047.000
447.dea	512276517.250	653842522.750	667331239.250	638512364.850	642660414.500	588502377.100	580982972.400	505889144.250	511298882.450
400.per	610790583.750	687832242.250	682741462.750	641401465.000	639229095.200	650419840.000	649226336.000	616757839.650	616837046.100
Spec-High	1883860000.000	2865130000.000	2804900000.000	2730860000.000	2726630000.000	2458070000.000	2423710000.000	2127630000.000	2086570000.000
Spec-All	866537000.000	1149940000.000	1135180000.000	1094700000.000	1080740000.000	1029270000.000	1020430000.000	919703000.000	911916000.000
