workload	single_tWR-0_16	single_tWR-0_41	single_tWR-0_40	spare_8_8-spare_8_8	ECC-ECC	base0-4096_chunks	matchb_chip-4096_chunks	sort0-4096_chunks	matchs_chip-4096_chunks
429.mcf	3119265056.000	4459555929.750	4366663288.250	4308822070.250	4134529009.500	4142371306.250	4028949472.000	4093849860.750	3894704732.800
470.lbm	3733133050.750	5966900787.000	5851496049.500	5599300807.350	5539749303.150	5501276448.600	5342095550.200	5302566591.800	5022962317.050
403.gcc	1528644974.000	2371148978.000	2323525581.000	2289726916.416	2200074624.875	2195525859.650	2130735354.300	2137409787.450	2027066205.200
401.bzi	702789426.000	1044596852.750	1025378354.250	1012787880.750	978259309.750	971497582.350	946492982.450	939652242.200	896197857.900
447.dea	502252103.750	677381512.000	667502124.500	660383751.916	642346370.250	642751237.450	629314096.150	631010607.050	607601554.950
400.per	427358979.500	533588642.500	527024857.750	523043274.500	511500018.750	508066669.950	501596344.350	499211373.900	486699577.900
spec_high	1940010000.000	2995630000.000	2932960000.000	2830060000.000	2772610000.000	2771520000.000	2687440000.000	2703150000.000	2559610000.000
spec_all	791883000.000	1084830000.000	1068300000.000	1044240000.000	1025880000.000	1023610000.000	1001610000.000	1001620000.000	963515000.000
