workload	spare_8_0-spare_8_0	spare_8_2-spare_8_2	spare_8_8-spare_8_8	spare_8_16-spare_8_16
429.mcf	1.000	0.955	0.876	0.890
470.lbm	1.000	0.958	0.853	0.896
403.gcc	1.000	0.957	0.878	0.892
401.bzi	1.000	0.957	0.876	0.891
447.dea	1.000	0.933	0.850	0.874
400.per	1.000	0.952	0.871	0.886
spec_high	1.000	0.956	0.853	0.889
spec_all	1.000	0.954	0.854	0.887
