workload	spare_8_0-spare_8_0	spare_8_2-spare_8_2	spare_8_8-spare_8_8	spare_8_16-spare_8_16
429.mcf	1.000	0.944	0.901	0.894
470.lbm	1.000	0.946	0.903	0.896
403.gcc	1.000	0.947	0.911	0.897
401.bzi	1.000	0.952	0.941	0.908
447.dea	1.000	0.975	0.936	0.938
400.per	1.000	0.983	0.923	0.965
spec_high	1.000	0.944	0.923	0.895
spec_all	1.000	0.962	0.930	0.927
