workload	single_tWR-0_16	single_tWR-0_41	single_tWR-0_40	spare_8_8-spare_8_8	ECC-ECC	base0-4096_chunks	matchb_chip-4096_chunks	sort0-4096_chunks	matchs_chip-4096_chunks
429.mcf	252.338	389.813	380.762	363.773	360.112	324.327	321.913	283.781	277.328
470.lbm	565.652	958.917	938.906	891.311	862.597	849.841	827.504	787.504	741.699
403.gcc	268.961	452.363	441.676	415.943	410.566	367.736	363.721	285.646	285.548
401.bzi	449.819	776.861	759.456	721.486	697.772	611.547	607.060	460.572	461.374
447.dea	238.823	420.299	420.766	391.878	391.337	332.250	331.279	243.991	245.592
400.per	219.889	392.010	381.622	363.960	359.249	309.891	306.999	232.152	232.650
spec_high	258.276	425.512	415.171	399.867	396.720	354.417	348.862	297.077	290.839
spec_all	313.335	528.761	516.837	495.116	490.210	429.144	424.483	341.892	338.535
