workload	spare_8_0-spare_8_0	spare_8_2-spare_8_2	spare_8_8-spare_8_8	spare_8_16-spare_8_16
429.mcf	4846375796.250	4652524274.500	4308822070.250	4366663288.250
470.lbm	6470359015.750	6224748620.500	5599300807.350	5851496049.500
403.gcc	2565965207.500	2472804580.250	2289726916.416	2323525581.000
401.bzi	1125050697.500	1085175365.250	1012787880.750	1025378354.250
447.dea	720092251.000	699267007.000	660383751.916	667502124.500
400.per	557793655.000	544304746.500	523043274.500	527024857.750
spec_high	3253930000.000	3126200000.000	2830060000.000	2932960000.000
spec_all	1153390000.000	1119360000.000	1044240000.000	1068300000.000
