workload	spare_8_0-spare_8_0	spare_8_2-spare_8_2	spare_8_8-spare_8_8	spare_8_16-spare_8_16
429.mcf	1.000	0.960	0.889	0.901
470.lbm	1.000	0.962	0.865	0.904
403.gcc	1.000	0.964	0.892	0.906
401.bzi	1.000	0.965	0.900	0.911
447.dea	1.000	0.971	0.917	0.927
400.per	1.000	0.976	0.938	0.945
spec_high	1.000	0.961	0.870	0.901
spec_all	1.000	0.970	0.905	0.926
