workload	spare_8_0-spare_8_0	spare_8_2-spare_8_2	spare_8_8-spare_8_8	spare_8_16-spare_8_16
429.mcf	432.621	413.303	379.164	384.824
470.lbm	981.240	940.470	836.881	879.036
403.gcc	467.572	447.577	410.388	416.974
401.bzi	758.712	726.188	664.303	676.319
447.dea	471.063	439.649	400.289	411.676
400.per	442.893	421.531	385.556	392.197
spec_high	480.064	458.702	409.426	426.795
spec_all	587.366	560.375	501.862	521.009
