workload	spare_8_0-spare_8_0	spare_8_2-spare_8_2	spare_8_8-spare_8_8	spare_8_16-spare_8_16
429.mcf	1.000	0.938	0.900	0.882
470.lbm	1.000	0.941	0.898	0.886
403.gcc	1.000	0.938	0.887	0.880
401.bzi	1.000	0.939	0.896	0.880
447.dea	1.000	0.941	0.882	0.881
400.per	1.000	0.936	0.895	0.872
spec_high	1.000	0.935	0.906	0.878
spec_all	1.000	0.936	0.902	0.877
