workload	single_tWR-0_16	base0-1024_chunks	matchb_chip-1024_chunks	sort0-1024_chunks	matchs_chip-1024_chunks	base0-4096_chunks	matchb_chip-4096_chunks	sort0-4096_chunks	matchs_chip-4096_chunks	base0-16384_chunks	matchb_chip-16384_chunks	sort0-16384_chunks	matchs_chip-16384_chunks
429.mcf	1.000	1.219	1.161	1.119	1.103	1.130	1.135	1.048	1.030	1.065	1.065	1.005	1.001
470.lbm	1.000	1.332	1.293	1.312	1.241	1.285	1.256	1.210	1.143	1.205	1.199	1.068	1.056
403.gcc	1.000	1.243	1.210	1.194	1.121	1.175	1.164	1.001	0.999	1.055	1.055	0.974	0.974
401.bzi	1.000	1.198	1.174	1.117	1.048	1.137	1.131	0.984	0.985	1.024	1.027	0.968	0.966
447.dea	1.000	1.124	1.105	1.076	1.015	1.045	1.060	0.984	0.988	1.002	1.006	0.978	0.970
400.per	1.000	1.054	1.047	1.043	1.026	1.038	1.037	1.000	0.999	1.011	1.011	0.995	0.995
spec_high	1.000	1.247	1.208	1.203	1.138	1.185	1.171	1.063	1.042	1.092	1.089	1.008	1.003
spec_all	1.000	1.162	1.139	1.128	1.081	1.119	1.111	1.025	1.016	1.050	1.050	0.996	0.993
