workload	spare_8_0-spare_8_0	spare_8_2-spare_8_2	spare_8_8-spare_8_8	spare_8_16-spare_8_16
429.mcf	348.989	343.259	329.848	324.555
470.lbm	859.822	816.612	790.635	768.805
403.gcc	403.266	382.919	370.033	359.815
401.bzi	692.437	656.756	634.025	616.026
447.dea	377.753	355.838	345.324	332.668
400.per	346.377	327.722	315.396	305.468
spec_high	378.857	361.325	348.987	339.911
spec_all	470.845	447.469	431.918	420.452
