workload	spare_8_0-spare_8_0	spare_8_2-spare_8_2	spare_8_8-spare_8_8	spare_8_16-spare_8_16
429.mcf	1.000	0.986	0.952	0.938
470.lbm	1.000	0.955	0.928	0.905
403.gcc	1.000	0.957	0.931	0.908
401.bzi	1.000	0.962	0.937	0.918
447.dea	1.000	0.965	0.959	0.912
400.per	1.000	0.987	0.979	0.972
spec_high	1.000	0.961	0.933	0.912
spec_all	1.000	0.973	0.954	0.938
