workload	single_tWR-0_16	single_tWR-0_33	single_tWR-0_31	spare_8_8-spare_8_8	ECC-ECC	base0-4096_chunks	matchb_chip-4096_chunks	sort0-4096_chunks	matchs_chip-4096_chunks
429.mcf	1.000	1.325	1.280	1.259	1.247	1.239	1.210	1.221	1.159
470.lbm	1.000	1.487	1.427	1.400	1.385	1.365	1.327	1.308	1.230
403.gcc	1.000	1.467	1.406	1.380	1.363	1.351	1.310	1.305	1.227
401.bzi	1.000	1.511	1.448	1.417	1.401	1.380	1.339	1.321	1.240
447.dea	1.000	1.485	1.414	1.394	1.376	1.366	1.314	1.310	1.213
400.per	1.000	1.536	1.474	1.437	1.421	1.398	1.352	1.337	1.249
spec_high	1.000	1.444	1.386	1.359	1.344	1.333	1.295	1.294	1.214
spec_all	1.000	1.476	1.413	1.386	1.369	1.349	1.311	1.296	1.219
