workload	spare_8_0-spare_8_0	spare_8_2-spare_8_2	spare_8_8-spare_8_8	spare_8_16-spare_8_16
429.mcf	4268758034.500	4086616786.250	3793015963.850	3887654141.250
470.lbm	5717432670.250	5477199048.250	5013232331.950	5172150489.500
403.gcc	2273804850.250	2175483107.000	1996602992.450	2054976718.500
401.bzi	1003728103.500	967896090.250	895024204.350	918917003.000
447.dea	657960603.250	636036969.750	599592047.600	611532596.500
400.per	520129639.750	509025350.000	485576496.300	491813905.750
spec_high	2867390000.000	2739700000.000	2512580000.000	2585890000.000
spec_all	1050750000.000	1017040000.000	955153000.000	975486000.000
