workload	spare_8_0-spare_8_0	spare_8_2-spare_8_2	spare_8_8-spare_8_8	spare_8_16-spare_8_16
429.mcf	1.000	0.952	0.875	0.900
470.lbm	1.000	0.953	0.863	0.894
403.gcc	1.000	0.951	0.858	0.885
401.bzi	1.000	0.952	0.858	0.891
447.dea	1.000	0.940	0.844	0.869
400.per	1.000	0.950	0.849	0.879
spec_high	1.000	0.949	0.858	0.887
spec_all	1.000	0.947	0.852	0.883
