workload	single_tWR-0_16	single_tWR-0_33	single_tWR-0_31	spare_8_8-spare_8_8	ECC-ECC	base0-4096_chunks	matchb_chip-4096_chunks	sort0-4096_chunks	matchs_chip-4096_chunks
429.mcf	3119265056.000	3966339696.500	3846214556.250	3793015963.850	3760776810.050	3745067930.950	3668549978.550	3700892551.350	3533620465.000
470.lbm	3733133050.750	5290659130.750	5097767492.500	5013232331.950	4962252410.100	4901292673.700	4779806302.700	4723639356.600	4474587580.200
403.gcc	1528644974.000	2103173176.500	2030402614.500	1996602992.450	1977470072.550	1960600704.700	1912610921.100	1909675157.500	1807302073.750
401.bzi	702789426.000	939030283.250	908927185.750	895024204.350	887061466.750	878507364.100	858769067.900	851035612.650	813667431.700
447.dea	502252103.750	622622999.000	606285641.250	599592047.600	595459824.100	593148212.450	582422985.500	581837194.150	560283576.050
400.per	427358979.500	499045930.250	490741814.500	485576496.300	483521340.650	480383085.750	473963554.250	472721828.800	460644096.900
spec_high	1940010000.000	2646640000.000	2554070000.000	2512580000.000	2488020000.000	2469550000.000	2409030000.000	2409600000.000	2281560000.000
spec_all	791883000.000	992081000.000	966515000.000	955153000.000	948370000.000	942287000.000	925586000.000	923055000.000	888933000.000
