workload	single_tWR-0_16	single_tWR-0_33	single_tWR-0_31	spare_8_8-spare_8_8	ECC-ECC	base0-4096_chunks	matchb_chip-4096_chunks	sort0-4096_chunks	matchs_chip-4096_chunks
429.mcf	3203550419.750	4144142403.500	4012767476.750	4029677975.083	4012767476.750	3661644675.150	3620708777.875	3353025027.800	3309855511.550
470.lbm	4043450076.250	5724684339.250	5523330914.500	5425592767.800	5373448577.150	5177370089.800	5078841783.900	4868292757.600	4677468009.600
403.gcc	1533459727.250	2102242543.500	2030704326.500	1996780254.350	1977817912.450	1796652343.800	1786512099.250	1535484401.150	1532614165.400
401.bzi	716324525.750	946704567.500	917206961.250	903981740.650	896348613.250	813582133.200	810951755.200	705360246.750	705548177.800
447.dea	512276517.250	621395888.000	610456345.750	598647471.000	593369204.500	543117192.350	546565641.050	505628729.350	505401946.650
400.per	610790583.750	662070646.250	655747360.500	652506494.050	650892405.050	634133601.450	633289510.950	610715465.450	610190610.450
Spec-High	1883860000.000	2539000000.000	2454870000.000	2421670000.000	2401060000.000	2228340000.000	2204850000.000	2000420000.000	1972040000.000
Spec-All	866537000.000	1060770000.000	1036640000.000	1027130000.000	1021310000.000	963467000.000	958424000.000	888404000.000	882798000.000
