workload	single_tWR-0_16	single_tWR-0_33	single_tWR-0_31	spare_8_8-spare_8_8	ECC-ECC	base0-4096_chunks	matchb_chip-4096_chunks	sort0-4096_chunks	matchs_chip-4096_chunks
429.mcf	252.338	340.590	328.271	329.848	328.271	295.355	291.505	266.316	262.363
470.lbm	565.652	839.313	806.356	790.635	782.246	749.793	733.835	698.553	667.947
403.gcc	268.961	393.391	377.789	370.033	366.028	326.859	324.190	270.263	269.628
401.bzi	449.819	674.997	647.382	634.025	627.124	546.772	543.584	439.229	439.348
447.dea	238.823	372.294	355.237	345.324	339.826	293.362	292.508	235.114	234.042
400.per	219.889	336.777	322.724	315.396	311.889	273.138	271.630	218.232	217.565
spec_high	258.276	368.914	354.722	348.987	345.501	315.932	312.061	276.463	272.098
spec_all	313.335	457.628	440.368	431.918	427.848	382.514	379.685	321.245	318.434
