workload	spare_8_0-spare_8_0	spare_8_2-spare_8_2	spare_8_8-spare_8_8	spare_8_16-spare_8_16
429.mcf	4234102743.200	4173175429.166	4029677975.083	3972945898.916
470.lbm	5847091538.800	5584050653.150	5425592767.800	5291810343.200
403.gcc	2145738738.100	2054419684.650	1996780254.350	1949039409.150
401.bzi	964305873.800	927207769.600	903981740.650	885512605.950
447.dea	624264364.100	602213609.050	598647471.000	569330382.000
400.per	666620093.500	658158562.050	652506494.050	647971934.250
spec_high	2595400000.000	2494130000.000	2421670000.000	2367660000.000
spec_all	1076460000.000	1047070000.000	1027130000.000	1009250000.000
