workload	spare_8_0-spare_8_0	spare_8_2-spare_8_2	spare_8_8-spare_8_8	spare_8_16-spare_8_16
429.mcf	374.954	356.978	327.918	337.322
470.lbm	856.369	816.217	739.437	765.890
403.gcc	408.207	388.203	350.408	361.126
401.bzi	657.081	625.578	563.970	585.447
447.dea	402.131	378.012	339.273	349.296
400.per	381.109	362.078	323.634	334.966
spec_high	415.773	394.580	356.788	368.678
spec_all	507.517	480.760	432.483	448.004
