workload	single_tWR-0_16	single_tWR-0_33	single_tWR-0_31	spare_8_8-spare_8_8	ECC-ECC	base0-4096_chunks	matchb_chip-4096_chunks	sort0-4096_chunks	matchs_chip-4096_chunks
429.mcf	1.000	1.350	1.301	1.307	1.301	1.170	1.155	1.055	1.040
470.lbm	1.000	1.484	1.426	1.398	1.383	1.326	1.297	1.235	1.181
403.gcc	1.000	1.463	1.405	1.376	1.361	1.215	1.205	1.005	1.002
401.bzi	1.000	1.501	1.439	1.410	1.394	1.216	1.208	0.976	0.977
447.dea	1.000	1.559	1.487	1.446	1.423	1.228	1.225	0.984	0.980
400.per	1.000	1.532	1.468	1.434	1.418	1.242	1.235	0.992	0.989
spec_high	1.000	1.428	1.373	1.351	1.338	1.223	1.208	1.070	1.054
spec_all	1.000	1.461	1.405	1.378	1.365	1.221	1.212	1.025	1.016
