workload	spare_8_0-spare_8_0	spare_8_2-spare_8_2	spare_8_8-spare_8_8	spare_8_16-spare_8_16
429.mcf	1.000	0.957	0.889	0.911
470.lbm	1.000	0.958	0.877	0.905
403.gcc	1.000	0.957	0.878	0.904
401.bzi	1.000	0.964	0.892	0.916
447.dea	1.000	0.967	0.911	0.929
400.per	1.000	0.979	0.934	0.946
spec_high	1.000	0.955	0.876	0.902
spec_all	1.000	0.968	0.909	0.928
