workload	time	latency
com1	1.156	1.328
com2	1.177	1.293
com3	1.107	1.369
com4	1.068	1.219
com5	1.051	1.272
lesl	1.201	1.296
libq	1.154	1.194
blac	1.097	1.234
face	1.063	1.045
ferr	1.117	1.187
flui	1.082	1.216
freq	1.075	1.221
stre	1.091	1.217
swap	1.099	1.243
MT-c	1.194	1.257
MT-f	1.333	1.282
mumm	1.213	1.251
tigr	1.202	1.199
Gmean	1.136	1.238
