workload 20nm_base 20nm_ref_pr_pv_64 20nm_ref_pr_pv_default 20nm_ref_pr_pv_multi_dimm 20nm_ref_pr_pv_multi_bin 20nm_ref_pr_pv_fixed_dimm 20nm_ref_pr_pv_fixed_bin
open-page	1.000 1.059 1.110 1.097 1.124 1.072 1.133
close-page	1.000 1.100 1.150 1.140 1.174 1.123 1.195
