workload	20nm_base	20nm_spec	20nm_norefresh	20nm_ref_pr_pv_64	20nm_ref_pr_pv_default	20nm_ref_pr_pv_multi_dimm	20nm_ref_pr_pv_multi_bin	20nm_ref_pr_pv_fixed_dimm	20nm_ref_pr_pv_fixed_bin
com1	636424156	548629244	536404456	576663004	556450708	556450708	556450708	562412084	549880684
com2	876057849	744484169	723665697	777167025	759988109	759988109	759988109	764819989	741007681
com3	502142545	452827033	433033573	468429845	456307597	456307597	456307597	467430821	457397801
com4	412797245	384074849	366516021	395462781	390097433	390097433	390097433	396519857	387932509
com5	329079020	314865672	292509420	322135940	315381156	315381156	315381156	321318388	314224488
lesl	763766857	633914061	646193001	679471217	659946705	659946705	659946705	669513909	635793785
libq	1119494504	950434008	909262752	1027022196	1010429248	1010429248	1010429248	1015287188	983776288
blac	446753684	411210516	390234920	420945044	412758120	412758120	412758120	420737008	408140564
face	643551348	604371340	540819200	623053700	603640744	603640744	603640744	612561120	601076812
ferr	632439725	566857053	531307977	588474757	571693433	571693433	571693433	578626409	566063701
flui	654992781	606194381	564550029	621696141	603079653	603079653	603079653	613336661	597397085
freq	407450225	376150297	362191677	387906461	381891101	381891101	381891101	388305821	382465181
stre	455222660	414279240	396678740	427108924	418829176	418829176	418829176	425559092	416126524
swap	665373993	608278997	587425165	623718933	608589749	608589749	608589749	615903021	601181321
MT-c	1199869517	1004703832	993824461	1032598892	1003020361	1003020361	1003020361	1011620352	978091936
MT-f	1729196036	1300847632	1437976552	1245642620	1245015820	1245015820	1245015820	1252550672	1182884324
mumm	1399371049	1153206893	1159825529	1184199485	1159798713	1159798713	1159798713	1168860817	1111586625
tigr	1594937504	1327226388	1323186144	1351598604	1320828872	1320828872	1320828872	1328712932	1282154628
Gmean	712038000.000	626044000.000	606711000.000	645727000.000	631243000.000	631243000.000	631243000.000	639390000.000	620511000.000
