workload	20nm_base	20nm_spec	20nm_norefresh	20nm_ref_pr_pv_64	20nm_ref_pr_pv_default	20nm_ref_pr_pv_multi_dimm	20nm_ref_pr_pv_multi_bin	20nm_ref_pr_pv_fixed_dimm	20nm_ref_pr_pv_fixed_bin
comm1	1.000	0.862	0.843	0.917	0.893	0.893	0.893	0.897	0.873
comm2	1.000	0.850	0.826	0.904	0.882	0.882	0.882	0.896	0.862
comm3	1.000	0.902	0.862	0.944	0.923	0.923	0.923	0.937	0.909
comm4	1.000	0.930	0.888	0.962	0.951	0.951	0.951	0.961	0.941
comm5	1.000	0.957	0.889	0.982	0.960	0.960	0.960	0.981	0.958
leslie	1.000	0.830	0.846	0.900	0.884	0.884	0.884	0.888	0.854
libq	1.000	0.849	0.812	0.933	0.918	0.918	0.918	0.912	0.893
black	1.000	0.920	0.873	0.951	0.930	0.930	0.930	0.950	0.924
face	1.000	0.939	0.840	0.972	0.942	0.942	0.942	0.956	0.938
ferret	1.000	0.896	0.840	0.939	0.911	0.911	0.911	0.923	0.902
fluid	1.000	0.925	0.862	0.962	0.930	0.930	0.930	0.942	0.924
freq	1.000	0.923	0.889	0.968	0.942	0.942	0.942	0.961	0.940
stream	1.000	0.910	0.871	0.951	0.928	0.928	0.928	0.942	0.930
swapt	1.000	0.914	0.883	0.953	0.931	0.931	0.931	0.938	0.918
MT-canneal	1.000	0.837	0.828	0.882	0.853	0.853	0.853	0.860	0.829
MT-fluid	1.000	0.752	0.832	0.768	0.762	0.762	0.762	0.767	0.711
mummer	1.000	0.824	0.829	0.867	0.850	0.850	0.850	0.856	0.811
tigr	1.000	0.832	0.830	0.870	0.848	0.848	0.848	0.854	0.818
Gmean	1.000	0.879	0.852	0.922	0.901	0.901	0.901	0.911	0.883
