workload	20nm_base	20nm_spec	20nm_norefresh	20nm_ref_pr_pv_64	20nm_ref_pr_pv_default	20nm_ref_pr_pv_multi_dimm	20nm_ref_pr_pv_multi_bin	20nm_ref_pr_pv_fixed_dimm	20nm_ref_pr_pv_fixed_bin
comm1	304.040	230.340	239.820	257.310	235.930	235.930	235.930	243.470	226.320
comm2	376.370	292.460	306.590	323.000	305.640	305.640	305.640	315.360	293.630
comm3	263.860	203.550	206.550	225.700	204.950	204.950	204.950	216.980	194.970
comm4	227.810	182.490	175.620	197.260	186.490	186.490	186.490	195.140	179.080
comm5	220.970	184.790	169.160	201.540	183.800	183.800	183.800	199.370	181.510
leslie	296.180	225.700	244.570	251.030	232.620	232.620	232.620	242.220	221.640
libq	326.530	272.440	253.150	303.230	285.340	285.340	285.340	280.550	279.840
black	319.170	263.910	252.310	286.440	263.340	263.340	263.340	284.440	257.720
face	423.670	406.270	344.720	419.070	392.810	392.810	392.810	413.240	392.760
ferret	377.930	322.510	306.540	343.470	311.160	311.160	311.160	319.540	305.310
fluid	328.330	272.960	263.790	298.550	272.730	272.730	272.730	279.830	267.840
freq	309.320	252.050	249.310	285.050	258.380	258.380	258.380	279.110	256.780
stream	319.580	262.080	256.630	288.820	267.460	267.460	267.460	282.850	266.590
swapt	315.440	260.660	257.310	286.830	264.860	264.860	264.860	273.070	256.020
MT-canneal	421.780	336.610	345.570	363.640	339.670	339.670	339.670	345.620	328.440
MT-fluid	351.170	275.740	287.620	281.680	261.250	261.250	261.250	276.480	249.440
mummer	391.160	313.120	322.310	335.730	316.830	316.830	316.830	322.790	300.350
tigr	319.740	266.280	263.350	287.540	254.760	254.760	254.760	260.160	248.200
Gmean	322.508	262.805	258.885	285.927	263.960	263.960	263.960	274.844	256.528
