workload	20nm_base	20nm_spec	20nm_norefresh	20nm_ref_pr_pv_64	20nm_ref_pr_pv_default	20nm_ref_pr_pv_multi_dimm	20nm_ref_pr_pv_multi_bin	20nm_ref_pr_pv_fixed_dimm	20nm_ref_pr_pv_fixed_bin
comm1	1.000	0.758	0.789	0.846	0.776	0.776	0.776	0.801	0.744
comm2	1.000	0.777	0.815	0.858	0.812	0.812	0.812	0.838	0.780
comm3	1.000	0.771	0.783	0.855	0.777	0.777	0.777	0.822	0.739
comm4	1.000	0.801	0.771	0.866	0.819	0.819	0.819	0.857	0.786
comm5	1.000	0.836	0.766	0.912	0.832	0.832	0.832	0.902	0.821
leslie	1.000	0.762	0.826	0.848	0.785	0.785	0.785	0.818	0.748
libq	1.000	0.834	0.775	0.929	0.874	0.874	0.874	0.859	0.857
black	1.000	0.827	0.791	0.897	0.825	0.825	0.825	0.891	0.807
face	1.000	0.959	0.814	0.989	0.927	0.927	0.927	0.975	0.927
ferret	1.000	0.853	0.811	0.909	0.823	0.823	0.823	0.846	0.808
fluid	1.000	0.831	0.803	0.909	0.831	0.831	0.831	0.852	0.816
freq	1.000	0.815	0.806	0.922	0.835	0.835	0.835	0.902	0.830
stream	1.000	0.820	0.803	0.904	0.837	0.837	0.837	0.885	0.834
swapt	1.000	0.826	0.816	0.909	0.840	0.840	0.840	0.866	0.812
MT-canneal	1.000	0.798	0.819	0.862	0.805	0.805	0.805	0.819	0.779
MT-fluid	1.000	0.785	0.819	0.802	0.744	0.744	0.744	0.787	0.710
mummer	1.000	0.800	0.824	0.858	0.810	0.810	0.810	0.825	0.768
tigr	1.000	0.833	0.824	0.899	0.797	0.797	0.797	0.814	0.776
Gmean	1.000	0.815	0.803	0.887	0.818	0.818	0.818	0.852	0.795
